Latitude,Longitude,Altitude
32.16879873391328,34.81366116708516,38.137020997703075
32.16880871392564,34.81363680491587,46.07319577597082
32.16878423357213,34.813673616545515,36.12870711181313
32.16880189009192,34.81365696589446,36.79475736245513
32.16882878282275,34.81364757114002,42.10466634389013
32.168825455572616,34.813693581658306,30.228635432198644
32.17556859059146,34.8203988090015,-898.8470316911116
32.17555808619552,34.82042781761691,-892.4887223597616
32.17554512572483,34.820429579749394,-883.7070389119908
32.17555260495675,34.820448279006825,-894.041033597663
32.168802366043685,34.8135957353897,53.550571635365486
32.168758999609864,34.81360423447876,47.852151706814766
32.16885188434751,34.81362766238375,45.345525371842086
32.16881797285058,34.81362496259514,52.27184542361647
32.16876031858196,34.8136259715858,56.296435471624136
32.17554320894314,34.82041638631174,-878.9386798823252
32.175550491384186,34.820442466518664,-886.5018696272746
32.175517724335165,34.820480000023075,-887.3058562278748
32.16878228136003,34.81363855119061,52.36970274709165
32.168834431434995,34.813652476753354,53.535958846099675
